ID Parola,POS,Gramm,Parola,No punct,Standard,Lemma,Inglese,NR06,NR94,R20,Temp
1010600600,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,il,il,il,
1010600700,N-,----ASM-,βασιλέα.,βασιλέα,βασιλέα,βασιλεύς,king,re,re,re,
1010600800,N-,----NSM-,Δαυὶδ,Δαυὶδ,Δαυίδ,Δαυίδ,-,Davide,Davide,Davide2,
1010600900,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,E1,
1010601000,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010601100,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010601200,N-,----ASM-,Σολομῶνα,Σολομῶνα,Σολομῶνα,Σολομών,Solomon,Salomone,Salomone,Salomone,
1010601300,P-,--------,ἐκ,ἐκ,ἐκ,ἐκ,-,da,da,da,
1010601400,RA,----GSF-,τῆς,τῆς,τῆς,ὁ,-,quella,quella,quella,
1010601500,RA,----GSM-,τοῦ,τοῦ,τοῦ,ὁ,-,{che} {era} {stata} {moglie} di,{che} {era} {stata} {moglie} di,{che} {era} {stata} {moglie} di,
1010601600,N-,----GSM-,"Οὐρίου,",Οὐρίου,Οὐρίου,Οὐρίας,Uriah,Uria,Uria,Uria,
1010700100,N-,----NSM-,Σολομὼν,Σολομὼν,Σολομών,Σολομών,Solomon,Salomone,Salomone,Salomone,
1010700200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010700300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010700400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010700500,N-,----ASM-,"Ῥοβοάμ,",Ῥοβοάμ,Ῥοβοάμ,Ῥοβοάμ,Rehoboam,Roboamo,Roboamo,Roboamo,
1010700600,N-,----NSM-,Ῥοβοὰμ,Ῥοβοὰμ,Ῥοβοάμ,Ῥοβοάμ,Rehoboam,Roboamo,Roboamo,Roboamo,
1010700700,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010700800,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010700900,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010701000,N-,----ASM-,"Ἀβιά,",Ἀβιά,Ἀβιά,Ἀβιά,Abijah,Abiia,Abia,Abiia,
1010701100,N-,----NSM-,Ἀβιὰ,Ἀβιὰ,Ἀβιά,Ἀβιά,Abijah,Abiia,Abia,Abiia,
1010701200,C-,--------,δὲ,δὲ,δέ,δέ,and,-,-,-,
1010701300,V-,3AAI-S--,ἐγέννησεν,ἐγέννησεν,ἐγέννησε(ν),γεννάω,to be the father of,generò,generò,generò,
1010701400,RA,----ASM-,τὸν,τὸν,τόν,ὁ,-,>,>,>,
1010701500,N-,----ASM-,"Ἀσάφ,",Ἀσάφ,Ἀσάφ,Ἀσάφ,-,*,*,*,
