5|5|Nu 26-27;Sal 57;Ger 17:14-27;Ro 2|
6|5|Nu 28-29;Sal 58;Ger 18:1-10;Ro 3:1-20|
7|5|Nu 30-31;Sal 59;Ger 18:11-23;Ro 3:21-31|
8|5|Nu 32;Sal 60;Ger 19;Ro 4|
9|5|Nu 33-34;Sal 61;Ger 20;Ro 5|
10|5|Nu 35-36;Sal 62;Ger 21;Ro 6|
11|5|De 1;Sal 63;Ger 22:1-12;Ro 7|
12|5|De 2;Sal 64;Ger 22:13-30;Ro 8:1-17|
13|5|De 3;Sal 65;Ger 23:1-8;Ro 8:18-39|
14|5|De 4;Sal 66;Ger 23:9-40;Ro 9|
15|5|De 5-6;Sal 67;Ger 24;Ro 10-11:10|
16|5|De 7-8;Sal 68:1-19;Ger 25:1-14;Ro 11:11-36|
17|5|De 9-10;Sal 68:20-35;Ger 25:15-31;Ro 12|
18|5|De 11;Sal 69:1-18;Ger 25:32-38;Ro 13|
19|5|De 12-13;Sal 69:19-36;Ger 26:1-15;Ro 14|
20|5|De 14-15;Sal 70;Ger 26:16-24;Ro 15:1-13|
21|5|De 16-17;Sal 71;Ger 27;Ro 15:14-33|
22|5|De 18-19;Sal 72;Ger 28;Ro 16|
23|5|De 20-21;Sal 73:1-14;Ger 29:1-15;1Co 1|
24|5|De 22-23;Sal 73:15-28;Ger 29:16-32;1Co 2|
25|5|De 24;Sal 74:1-11;Ger 30:1-11;1Co 3|
26|5|De 25-26;Sal 74:12-23;Ger 30:12-24;1Co 4|
27|5|De 27;Sal 75;Ger 31:1-14;1Co 5|
28|5|De 28;Sal 76;Ger 31:15-30;1Co 6|
29|5|De 29-30;Sal 77;Ger 31:31-40;1Co 7:1-16|
30|5|De 31;Sal 78:1-31;Ger 32:1-15;1Co 7:17-40|
31|5|De 32;Sal 78:32-72;Ger 32:16-25;1Co 8|
1|6|De 33-34;Sal 79;Ger 32:26-44;1Co 9|
2|6|Gios 1;Sal 80;Ger 33:1-13;1Co 10|
3|6|Gios 2;Sal 81;Ger 33:14-26;1Co 11|
4|6|Gios 3;Sal 82;Ger 34;1Co 12|
5|6|Gios 4-5;Sal 83;Ger 35;1Co 13|
6|6|Gios 6;Sal 84;Ger 36:1-19;1Co 14:1-19|
7|6|Gios 7;Sal 85;Ger 36:20-32;1Co 14:20-40|
8|6|Gios 8;Sal 86;Ger 37;1Co 15:1-34|
9|6|Gios 9;Sal 87;Ger 38:1-13;1Co 15:35-58|
10|6|Gios 10;Sal 88;Ger 38:14-28;1Co 16|
11|6|Gios 11-12;Sal 89:1-18;Ger 39;2Co 1:1-22|
12|6|Gios 13-14;Sal 89:19-52;Ger 40;2Co 1:23-2:17|
13|6|Gios 15;Sal 90;Ger 41;2Co 3|
